Stamp,Using circle,Using arrow,Number of people,Number of people in group,Group radius,Distance to group,Robot within group?,Robot facing group?,Robot work radius,Distance to closest human,Distance to 2nd closest human,Distance to 3rd closest human,Direction to closest human,Direction to 2nd closest human,Direction to 3rd closest human,Direction from closest human to robot,Robot facing closest human?,Robot facing 2nd closest human?,Robot facing 3rd closest human?,Closest human facing robot?,2nd closest human facing robot?,3d closest human facing robot?,Number of children,Distance to closest child,Number of animals,Distance to closest animal,Number of people sitting/laying in sofa?,Music playing?,Number of agents in scene,Vacuum cleaning,Mopping the floor,Carry warm food,Carry cold food,Carry drinks,"Carry small objects (plates, toys)","Carry big objects (tables, chairs)",Cleaning (Picking up stuff) / Starting conversation
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0
250,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,2.2330419999999997,3.44665,50.0,50.0,318.7493,1000.0,1000.0,164.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0
